Year,Session,Docket,Negative,Neutral,Positive,Compound
1998,524,103,0.0,0.9935862068965519,0.006413793103448276,0.010020689655172416
1998,524,11,0.003621052631578947,0.992521052631579,0.0038631578947368422,0.006527894736842105
1998,524,116,0.0,1.0,0.0,0.0
1998,524,125,0.0003177083333333333,0.9886822916666667,0.011000000000000001,0.014666145833333331
1998,524,1301,0.0,1.0,0.0,0.0
1998,524,156,0.0,0.9890731707317074,0.010926829268292682,0.014023414634146341
1998,524,184,0.001784431137724551,0.994437125748503,0.0037784431137724553,0.0018940119760479043
1998,524,206,0.0022400000000000002,0.99438,0.0033799999999999998,0.011108000000000002
1998,524,214,0.0,0.9947365591397849,0.005263440860215054,0.006001075268817204
1998,524,236,0.0007382198952879581,0.9929214659685863,0.006340314136125655,0.009275392670157067
1998,524,266,0.0,1.0,0.0,0.0
1998,524,274,0.002223577235772358,0.9964878048780488,0.0012845528455284552,-0.0012556910569105689
1998,524,308,0.0,0.9985949367088607,0.0014050632911392406,0.0016202531645569621
1998,524,321,0.0020897959183673468,0.9972285714285715,0.0006816326530612245,-0.0019
1998,524,357,0.0036578947368421056,0.9886644736842106,0.007677631578947369,0.007011184210526316
1998,524,38,0.010552631578947369,0.9894473684210525,0.0,-0.008456578947368421
1998,524,381,0.0008425196850393701,0.9963307086614174,0.0028267716535433068,0.004077165354330708
1998,524,399,0.0034915254237288134,0.9965084745762711,0.0,-0.005900847457627119
1998,524,417,0.0015580952380952382,0.9974857142857144,0.0009561904761904761,-0.00010361904761904758
1998,524,498,0.001197969543147208,0.9967428087986464,0.00205922165820643,0.0025629441624365483
1998,524,51,0.0,0.9997548387096773,0.0002451612903225806,0.0025929032258064514
1998,524,569,0.0,0.999631419939577,0.0003685800604229607,0.001091238670694864
1998,524,624,0.0,0.9985816993464053,0.0014183006535947711,0.0010398692810457517
1998,524,666,0.003274143302180686,0.9909968847352023,0.005728971962616823,0.004055140186915888
1998,524,721,0.0007535211267605634,0.9972605633802816,0.001992957746478873,-0.0008859154929577463
1998,524,74,0.0,1.0,0.0,0.0
1998,524,742,0.0004384615384615385,0.9968153846153847,0.002746153846153846,0.0023115384615384612
1998,524,775,0.0042499999999999994,0.9945,0.00125,-0.0005013392857142857
1998,524,88,0.00611,0.9938899999999999,0.0,-0.017490000000000002
1998,525,113,0.0,1.0,0.0,0.0
1998,525,121,0.0,1.0,0.0,0.0
1998,525,128,0.0,0.9967387387387387,0.003261261261261261,0.0016027027027027028
1998,525,1301,0.0,1.0,0.0,0.0
1998,525,33,0.0,1.0,0.0,0.0
1998,525,55,0.0018099173553719008,0.9981900826446282,0.0,-0.0008487603305785124
1998,525,70,0.0,1.0,0.0,0.0
1998,525,83,0.0,1.0,0.0,0.0
1999,525,155,0.0,0.9990253164556963,0.0009746835443037975,0.0016957805907172995
